id_inventaris,jenis_inventaris,Nama,no_registrasi,tahun_perolehan,nilai_aset,luas,status,alamat,kelurahan_id,kecamatan_id,kondisi,jenis_bangunan,jenis_konstruksi,skpd_id,master_barang_id,kode_gedung
1571F,C,Kontruksi Gedung MCK,0015,2007,6000000,25.28,Pemda,"Jl. Imam Bonjol No. 2, Kec. Sananwetan, Kota Blitar",21,1,B,TTK,BTN,1043,1051,F
1571G,C,SDN SANANWETAN 2,0015,2007,29265306,212.79,Pemda,"Jl. Imam Bonjol No. 2, Kec. Sananwetan, Kota Blitar",21,1,B,TTK,BTN,1043,1051,G
2462H,C,Bangunan jamban SDN Sananwetan 2 DAK),0015,2018,97953408,27.45,Pemda,"Jl. Imam Bonjol No. 2, Kec. Sananwetan, Kota Blitar",21,1,B,TTK,BTN,1043,1002,H
1558A,C,SDN KARANGTENGAH 3,0002,2007,29265306,66,Bukan Pemda,"Jl. Sumatra No. 14, Karangtengah, Kec. Sananwetan, Kota Blitar",17,1,B,TTK,BBTN,1044,1051,A
1558B,C,"pembangunan jamban SDN Karangtengah 3
(DAK SD 2016)",0002,2007,47000000,33.5,-,"Jl. Sumatra No. 14, Karangtengah, Kec. Sananwetan, Kota Blitar",17,1,B,TTK,BTN,1044,1051,B
1558C,C,DAK Gd Sekolah,0002,2007,50400000,272.7,-,"Jl. Sumatra No. 14, Karangtengah, Kec. Sananwetan, Kota Blitar",17,1,B,TTK,BTN,1044,1051,C
1558D,C,Kontruksi Gedung MCK,0002,2007,10800000,51,-,"Jl. Sumatra No. 14, Karangtengah, Kec. Sananwetan, Kota Blitar",17,1,B,TTK,BTN,1044,1051,D
1558E,C,DAK Gd Sekolah,0002,2007,7200000,214.5,-,"Jl. Sumatra No. 14, Karangtengah, Kec. Sananwetan, Kota Blitar",17,1,B,TTK,BTN,1044,1051,E
1558F,C,DAK Gd Sekolah,0002,2007,7200000,236.16,-,"Jl. Sumatra No. 14, Karangtengah, Kec. Sananwetan, Kota Blitar",17,1,B,TTK,BTN,1044,1051,F
2697G,C,RUMAH PENJAGA SDN KARANGTENGAH 3 (DIKDAS),0095,2019,55482008.59,22.5,-,"Jl. Sumatra No. 14, Karangtengah, Kec. Sananwetan, Kota Blitar",17,1,B,TTK,BTN,1044,1061,G
1538A,C,GEDUNG SEKOLAH RKB SDN SENTUL 1,0015,1990,5040000,235,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BTN,1045,1004,A
1538B,C,Gedung Sekolah,0015,1990,296320000,253,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BTN,1045,1004,B
1538C,C,Bangunan 3 Gedung Kelas,0015,1990,26880000,506.05,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BTN,1045,1004,C
1539D,C,GEDUNG KANTOR / GURU SDN SENTUL 1,0016,1990,42000000,50.31,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BTN,1045,1004,D
1539E,C,Gedung Sekolah,0016,1990,20000000,225.9,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BTN,1045,1004,E
1650F,C,PAGAR SDN SENTUL 1,0007,2011,14195000,49.5,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BTN,1045,1001,F
1776G,C,PAVING SDN SENTUL 1,0003,2013,14028000,463.6,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BBTN,1045,1006,G
1593H,C,Kontruksi Gedung MCK,0037,2007,10800000,15.18,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BBTN,1045,1051,H
1593I,C,tahap I pembangunan RKB SDN Sentul 1 DAK 2015,0037,2007,100545382,115.02,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BTN,1045,1051,I
1593J,C,pembangunan jamban SDN Sentul 1 (DAK SD 2016),0037,2007,47000000,43.75,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BTN,1045,1051,J
2397K,C,"Termin (1,2,3) Pembangunan Jamban SDN Sentul 1 (DAK)",0010,2018,97953408,29.2,Pemda,"Jl. Trowulan No.2, Sentul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66113",13,2,B,TTK,BTN,1045,1002,K
1229A,C,GEDUNG SEKOLAH RKB SDN TANJUNGSARI 1,0008,1990,330000000,198.45,Pemda,"Jl. Kampar No.25, Tanjungsari, Kec. Sukorejo, Kota Blitar",5,3,B,TTK,BBTN,1046,1004,A
1229B,C,Bangunan Gedung Sekolah,0008,1990,15107500,314.2,Pemda,"Jl. Kampar No.25, Tanjungsari, Kec. Sukorejo, Kota Blitar",5,3,B,TTK,BTN,1046,1004,B
2678C,C,JAMBAN TANJUNGSARI 1 (DIKDAS),0022,2019,48378788.28,22.5,Pemda,"Jl. Kampar No.25, Tanjungsari, Kec. Sukorejo, Kota Blitar",5,3,B,TTK,BTN,1046,1002,C
1563D,C,pembangunan jamban SDN Tanjungsari 1 (DAK SD 2016),0007,2007,47000000,20,Pemda,"Jl. Kampar No.25, Tanjungsari, Kec. Sukorejo, Kota Blitar",5,3,B,TTK,BTN,1046,1051,D
1563E,C,Pembangunan UKS,0007,2007,7200000,24.5,Pemda,"Jl. Kampar No.25, Tanjungsari, Kec. Sukorejo, Kota Blitar",5,3,B,TTK,BTN,1046,1051,E
1563F,C,SDN TANJUNGSARI 1,0007,2007,29265306,288,Pemda,"Jl. Kampar No.25, Tanjungsari, Kec. Sukorejo, Kota Blitar",5,3,B,TTK,BTN,1046,1051,F
1232A,C,GEDUNG SEKOLAH RKB SDN SUKOREJO 1,0010,1990,284500000,176.4,Pemda,"Jl. Manggar No.57, Sukorejo, Kec. Sukorejo, Kota Blitar",4,3,B,TTK,BTN,1047,1004,A
1232B,C,Gedung Sekolah,0010,1990,182500000,279,Pemda,"Jl. Manggar No.57, Sukorejo, Kec. Sukorejo, Kota Blitar",4,3,B,TTK,BTN,1047,1004,B
2701C,C,"PAGAR SEKOLAH, KANOPI SDN SUKOREJO 1 (DIKDAS)",0097,2019,108315542.5,10.75,Pemda,"Jl. Manggar No.57, Sukorejo, Kec. Sukorejo, Kota Blitar",4,3,B,TTK,BTN,1047,1061,C
1233A,C,GEDUNG SEKOLAH RKB SDN SUKOREJO 2,0011,1990,210000000,269.7,Pemda,"Jl. Kerantil No.50 B, Sukorejo, Kec. Sukorejo, Kota Blitar",4,3,B,TTK,BBTN,1048,1004,A
1598B,C,SDN SUKOREJO 2,0042,2007,29265306,183.45,Pemda,"Jl. Kerantil No.50 B, Sukorejo, Kec. Sukorejo, Kota Blitar",4,3,B,TTK,BTN,1048,1051,B
1598C,C,Pembangunan UKS,0042,2007,7200000,77.05,Pemda,"Jl. Kerantil No.50 B, Sukorejo, Kec. Sukorejo, Kota Blitar",4,3,B,TTK,BTN,1048,1051,C
1598D,C,Kontruksi Gedung MCK,0042,2007,10800000,25,Pemda,"Jl. Kerantil No.50 B, Sukorejo, Kec. Sukorejo, Kota Blitar",4,3,B,TTK,BTN,1048,1051,D
1796E,C,PAGAR SDN SUKOREJO 2,0006,2013,18203000,14.9,Pemda,"Jl. Kerantil No.50 B, Sukorejo, Kec. Sukorejo, Kota Blitar",4,3,B,TTK,BTN,1048,1006,E
1236A,C,GEDUNG SEKOLAH RKB SDN SUKOREJO 3,0014,1990,1435000000,545.4,Pemda,"Jl. Mawar No.40, Sukorejo, Kec. Sukorejo, Kota Blitar,  Jawa Timur 66121",4,3,B,BTK,BBTN,1049,1004,A
1599D,C,SDN SUKOREJO 3,0043,2007,29265306,282.6,Pemda,"Jl. Mawar No.40, Sukorejo, Kec. Sukorejo, Kota Blitar,  Jawa Timur 66121",4,3,B,TTK,BTN,1049,1051,D
1599B,C,DAK Gd Sekolah,0043,2007,100800000,127.5,Pemda,"Jl. Mawar No.40, Sukorejo, Kec. Sukorejo, Kota Blitar,  Jawa Timur 66121",4,3,B,BTK,BTN,1049,1051,B
1245A,C,GEDUNG KANTOR SDN PAKUNDEN 2,0008,1990,18000000,230.4,Pemda,"Jl. Tanjung No.107, Pakunden, Kec. Sukorejo, Kota Blitar, Jawa Timur 67122",3,3,B,TTK,BTN,1050,1022,A
1228B,C,GEDUNG SEKOLAH RKB SDN PAKUNDEN 2,0007,1990,406000000,280.35,Pemda,"Jl. Tanjung No.107, Pakunden, Kec. Sukorejo, Kota Blitar, Jawa Timur 67122",3,3,B,TTK,BTN,1050,1004,B
1898C,C,PA √ ING SDN PAKUNDEN 2,0002,2014,40027000,516.75,Pemda,"Jl. Tanjung No.107, Pakunden, Kec. Sukorejo, Kota Blitar, Jawa Timur 67122",3,3,B,TTK,BTN,1050,8627,C
1899D,C,KAMAR MANDI SDN PAKUNDEN 2,0003,2014,43300000,18.75,Pemda,"Jl. Tanjung No.107, Pakunden, Kec. Sukorejo, Kota Blitar, Jawa Timur 67122",3,3,B,TTK,BTN,1050,8627,D
1562E,C,Kontruksi Gedung MCK,0006,2007,10800000,93,Pemda,"Jl. Tanjung No.107, Pakunden, Kec. Sukorejo, Kota Blitar, Jawa Timur 67122",3,3,B,TTK,BBTN,1050,1051,E
1562F,C,RKB/Rehab (SDN Pakunden 2),0006,2007,218320000,874.2,Pemda,"Jl. Tanjung No.107, Pakunden, Kec. Sukorejo, Kota Blitar, Jawa Timur 67122",3,3,B,BTK,BTN,1050,1051,F
1562G,C,Termyn I Rehab Berat SDN Pakunden 2 Kota Blitar,0006,2007,53488400,407.4,Pemda,"Jl. Tanjung No.107, Pakunden, Kec. Sukorejo, Kota Blitar, Jawa Timur 67122",3,3,B,TTK,BTN,1050,1051,G
1562H,C,SDN PAKUNDEN 2,0006,2007,29265306,112,Pemda,"Jl. Tanjung No.107, Pakunden, Kec. Sukorejo, Kota Blitar, Jawa Timur 67122",3,3,B,TTK,BTN,1050,1051,H
2261I,C,PINTU PAGAR HALAMAN SEKOLAH,0002,2017,9975000,50.5,Pemda,"Jl. Tanjung No.107, Pakunden, Kec. Sukorejo, Kota Blitar, Jawa Timur 67122",3,3,B,TTK,BTN,1050,1001,I
2332A,C,"Pembangunan termin (1,2,3) RKB bertingkat SDN Kepanjenlor 2 (DAK)",0036,2018,435278346,329.26,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,BTK,BTN,1051,1061,A
1584B,C,DAK Gd Sekolah,0028,2007,7200000,32.13,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1051,B
1584C,C,DAK Gd Sekolah,0028,2007,7200000,79.57,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1051,C
2680D,C,JAMBAN KEPANJENLOR 2 (DIKDAS),0023,2019,56711812.02,41.25,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BBTN,1051,1002,D
1511E,C,GEDUNG SEKOLAH RKB SDN KEPANJENLOR 2,0001,2009,20000000,185.35,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1003,E
1584F,C,pembangunan RKB SDN Kepanjenlor 2 (DAK SD 2016),0028,2007,768229342,1261.575,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1051,F
1584G,C,SDN KEPANJENLOR 2,0028,2007,29265306,66.96,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1051,G
1584H,C,Pembangunan UKS,0028,2007,12960000,29.2,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1051,H
1584I,C,Kontruksi Gedung MCK,0028,2007,10800000,24.44,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1051,I
2681K,C,PAPAN NAMA KEPANJENLOR 2 (DIKDAS),0082,2019,64336533.98,9.5,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1061,K
2000L,C,PAVING SDN KEPANJENLOR 2,0001,2015,73520000,0,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1001,L
2204M,C,Gapura Sekolah SD Kepanjenlor 2,0002,2017,8500000,0,Pemda,"Jl. Semeru No.28, Kepanjenlor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117",11,2,B,TTK,BTN,1051,1006,M
1190A,C,Gedung Komplek SMPN 3,0001,1990,2898342122,1270.75,Pemda,"Jl. Sudanco Supriyadi 30, Kel.Bendogerit, Kec.Sananwetan",15,1,B,TTK,BTN,1052,1004,A
1190B,C,GEDUNG SEKOLAH RKB,0001,1990,195432500,741.6,Pemda,"Jl. Sudanco Supriyadi 30, Kel.Bendogerit, Kec.Sananwetan",15,1,B,TTK,BTN,1052,1004,B
1190C,C,RKB,0001,1990,125000000,291.2,Pemda,"Jl. Sudanco Supriyadi 30, Kel.Bendogerit, Kec.Sananwetan",15,1,B,TTK,BTN,1052,1004,C
1190D,C,Belanja modal konstruksi bangunan,0001,1990,47999980,450,Pemda,"Jl. Sudanco Supriyadi 30, Kel.Bendogerit, Kec.Sananwetan",15,1,B,TTK,BTN,1052,1004,D
1190E,C,"Bangunan Ruang keamanan Sekolah : 6m2 , tidak bertingkat ,",0001,2014,19550000,25,Pemda,"Jl. Sudanco Supriyadi 30, Kel.Bendogerit, Kec.Sananwetan",15,1,B,TTK,BTN,1052,1004,E
1280F,C,Konstruksi Gedung,0005,2009,3000000,448,Pemda,"Jl. Sudanco Supriyadi 30, Kel.Bendogerit, Kec.Sananwetan",15,1,B,BTK,BTN,1052,1061,F
1280G,C,Pembangunan Gedung,0005,2009,63000000,333,Pemda,"Jl. Sudanco Supriyadi 30, Kel.Bendogerit, Kec.Sananwetan",15,1,B,TTK,BTN,1052,1061,G
1280H,C,SMPN 3,0005,2009,84000000,157.5,Pemda,"Jl. Sudanco Supriyadi 30, Kel.Bendogerit, Kec.Sananwetan",15,1,B,TTK,BTN,1052,1061,H
1280I,C,Termin III RKB SMPN 3 Kota Blitar,0005,2009,46611810,96,Pemda,"Jl. Sudanco Supriyadi 30, Kel.Bendogerit, Kec.Sananwetan",15,1,B,TTK,BTN,1052,1061,I
2110A,C,Depo Arsip Jl.Ciliwung,0002,2016,199253000,503.84,PEMDA,"Jl. Ciliwung No.128, Bendo, Kec.Kepanjenkidul, Kota Blitar, Jawa Timur 66116   ",8,2,B,TTK,BTN,912,1033,A
1702B,C,Gedung kantor kearsipan dan perpustakaan,0001,2014,1992815600,428.38,PEMDA,"Jl. Veteran No.75 Kec.Kepanjenkidul, Kota Blitar",19,2,B,BTK,BTN,912,1033,B
2201C,C,Kolam Koi,0001,2017,19825000,10,PEMDA,"Jl. Veteran No.75 Kec.Kepanjenkidul, Kota Blitar",19,2,B,TTK,BTN,912,1001,C
1698D,C,Tempat Parkir,0001,2015,77890000,61.6,PEMDA,"Jl. Veteran No.75 Kec.Kepanjenkidul, Kota Blitar",19,2,B,TTK,BTN,912,8627,D
1698E,C,Nilai perolehan E satu anggaran dengan nilai perolehan D,0001,2015,0,25.6,PEMDA,"Jl. Veteran No.75 Kec.Kepanjenkidul, Kota Blitar",19,2,B,TTK,BTN,912,8627,E
1515A,C,Kantor Uptd Dikda Kepanjenkidul,0001,1990,175000000,275.75,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,B,TTK,BTN,844,1003,A
1516B,C,Gedung Serbaguna,0001,2010,172952000,446.5,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,B,BTK,BTN,844,1001,B
1978C,C,Gedung Bakesbangpolinmas,0002,2015,636776000,647.42,PEMDA,Kantor Lama Damkar,0,0,B,BTK,BTN,844,1003,C
1250D,C,Garasi Bakesbang,0001,2006,272670100,325.6,PEMDA,Kantor Lama Damkar,0,0,B,TTK,BTN,844,1000,D
1415A,C,Bangunan Monumen Patung Supriyadi Komplek PETA,0001,1990,149978000,156.5,PEMDA,"Jl. Sudanco Supriyadi, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BTN,840,8110,A
1196A,C,GEDUNG SEKOLAH SMPN 10,0002,1990,616000000,1201.6,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1004,A
1196B,C,GEDUNG SEKOLAH SMPN 10,0002,1990,616000000,1201.6,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1004,B
1196C,C,GEDUNG SEKOLAH SMPN 10,0002,1990,616000000,1201.6,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1004,C
1196D,C,Ruang Kelas SMPN 10,0002,1990,60400000,282.9,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1004,D
1196E,C,Revitalisasi Gedung Sekolah SMPN 10,0002,2006,41502150,289.8,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1004,E
1198F,C,LABORATORIUM SMPN 10,0002,2010,121648982,368,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,BTK,BTN,836,1001,F
1283G,C,Pembangunan Gedung,0008,2009,75600000,540.5,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,BTK,BTN,836,1061,G
1283H,C,Pembangunan Gedung,0008,2009,46440000,104,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,BTK,BTN,836,1061,H
1283I,C,Lab. Bahasa SMPN 10,0008,2009,71600000,204.6,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1061,I
1283J,C,Pembangunan Perpustakaan,0008,2009,56700000,249.6,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1061,J
1283K,C,LABORATORIUM SMPN 10,0008,1990,138000000,192,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1061,K
1283L,C,SMP N 10,0008,2009,151200000,328.8,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1061,L
1283M,C,Pembangunan Gedung,0008,2009,113400000,234,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1061,M
1283N,C,Pembangunan Gedung,0008,2009,42000000,48,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1061,N
1954O,C,GEDUNG OSIS SMPN 10,0012,2015,32500000,38.505,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,RR,TTK,BTN,836,1003,O
1197P,C,LAPANGAN SMPN 10,0001,1990,34000000,642.36,PEMDA,"Jl. Widuri 213, Kota Blitar, Jawa Timur",6,3,B,TTK,BTN,836,1018,P
1403A,C,Kantor Koperasi UKM JL. IMAM BONJOL,0001,1990,25000000,633.97,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,BTK,BTN,905,1012,A
1402B,C,Gudang,0001,1990,12500000,99.16,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,905,1033,B
905001C,C,Bangunan Gedung Kantor,0000,2001,349607000,44.28,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,905,0,C
905002D,C,Bangunan Gedung Kantor,0000,2001,349607000,82.5,-,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,905,0,D
1747E,C,TEMPAT PARKIR KANTOR KOPERASI JL. IMAM BONJOL,0001,2012,59996000,94.88,-,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,905,1001,E
1401A,C,Gedung Pertemuan Bapemas,0001,1990,186501542,633.97,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,BTK,BTN,856,1012,A
85601B,C,Musholla,0000,1990,47025129,41.5,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,856,0,B
1633C,C,Bangunan Gudang tertutup permanen,0001,1990,47025129,104.1,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,856,1001,C
2052D,C,Pintu Pagar Bapemas,0003,2016,4645000,90,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,856,1001,D
2624E,C,Rehab sederhana Rumah Aman,0004,2019,89600000,30,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,856,1003,E
2241F,C,Kolam Koi,0005,2017,19500000,4.698,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,856,1001,F
2470H,C,Gedung UPTB Balai Penyuluhan KB Kec. Sananwetan,0002,2015,5000000,80.15,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,856,1003,H
2471I,C,Gedung UPTB Balai Penyuluhan KB Kec. Kepanjenkidul,0003,2011,184321000,91.44,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,856,1003,I
1632J,C,Gedung UPTB Balai Penyuluhan KB Kec. Sukorejo,0001,2011,184320000,73.95,PEMDA,"Jl. Imam Bonjol No.85, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,856,1003,J
1892A,C,Gedung Kantor Dinsosnaker Jalan Jawa,0002,2014,2343663200,692.83,PEMDA,"Jl. Jawa No.64A, Karanglo, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,BTK,BTN,858,1003,A
1876B,C,Pagar Kantor,0002,2014,13500000,37,PEMDA,"Jl. Jawa No.64A, Karanglo, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,858,1001,B
1997C,C,Paving Halaman Kantor,0003,2015,112800000,1225.6,PEMDA,"Jl. Jawa No.64A, Karanglo, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,858,1001,C
2162D,C,Kolam Hias,0004,2017,20000000,60.14,PEMDA,"Jl. Jawa No.64A, Karanglo, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BBTN,858,1001,D
2540E,C,Tempat Parkir Kanopi Gedung Selter Dinas Sosial,0001,2019,49530000,82.5,PEMDA,"Jl. Jawa No.64A, Karanglo, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BBTN,858,8627,E
1231F,C,GEDUNG SEKOLAH RKB SDLB NEGERI SUKOREJO,0001,1990,171000000,169.25,PEMDA,"Jl. Bakung No.RT. 02, RW.6, Sukorejo, Kec. Sukorejo, Kota Blitar, Jawa Timur 66122",4,3,B,TTK,BBTN,858,1004,F
1677G,C,Rumah Singgah Di Kelurahan Sukorejo,0001,2011,70050500,37.6,-,-,0,0,B,TTK,BTN,858,1038,G
1486H,C,Gedung KPT Jl Cokroaminota ( MASTRIP ),0001,1990,239350000,295.02,PEMDA,Jl Cokroaminota ( Mastrip ),11,2,B,BTK,BTN,858,1003,H
2343I,C,"Perencanaan,Pengawasan, Bangunan Pagar Tmp Raden Wijaya",0006,2018,302274000,232.69,-,"Jl. Hasanudin Blitar, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BTN,858,1001,I
1400J,C,Monumen Tmp,0001,1990,73640000,143.17,-,"Jl. Hasanudin Blitar, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BTN,858,1058,J
1794K,C,Pemasangan Keramik Tmp Raden Wijaya,0001,2014,124201880,2985.5,-,"Jl. Hasanudin Blitar, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BTN,858,1069,K
2006L,C,Monumen Potlot,0004,2015,194000000,1679,-,"Blitar, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BTN,858,1003,L
2163M,C,Pembuatan Rabat Tmp Raden Wijaya,0005,2017,28320000,1977.4,-,"Jl. Hasanudin Blitar, Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133",15,1,B,TTK,BBTN,858,1001,M
1808A,C,GEDUNG CAPIL,0001,2013,434100000,667.47,PEMDA,-,19,1,B,BTK,BTN,842,1003,A
1860B,C,DISPENDUK CAPIL JL. KENARI,0001,2014,39600000,135.3,PEMDA,-,19,1,B,BTK,BTN,842,1001,B
2064C,C,PAGAR DISPENDUK CAPIL,0003,2016,201046000,71.4,PEMDA,-,19,1,B,TTK,BTN,842,1001,C
2174D,C,BANGUNAN KOLAM,0004,2017,20325000,12.92,PEMDA,-,19,1,B,TTK,BTN,842,1001,D
863099E,C,Bangunan Gudang Tertutup Permanen ( RUMAH GENSET,0001,2020,52470000,21.45,PEMDA,-,19,1,B,TTK,BTN,842,1033,E
1859F,C,TEMPAT PARKIR DISPENDUK CAPIL JL. KENARI,0001,2014,111250000,119,PEMDA,-,19,1,B,TTK,BTN,842,8627,F
859731G,C,Bangunan Gedung Lainnya (SEKAT RUANG PELAYANAN/FRONT OFFICE),0005,2018,110510000,81.27,PEMDA,-,19,1,B,TTK,BTN,842,14218,G
2256A,C,Bangunan Kolan,0007,2017,29964051,5.97,PEMDA,"Jl. Ahmad Yani No.20, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137",21,1,B,TTK,BTN,906,1001,A
